sep = ,
"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","HUN","Hungary","2012","2012",132.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","HUN","Hungary","2013","2013",137.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ISL","Iceland","2000","2000",129.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ISL","Iceland","2001","2001",128,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ISL","Iceland","2002","2002",137.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ISL","Iceland","2003","2003",138.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ISL","Iceland","2004","2004",144.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ISL","Iceland","2005","2005",144.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ISL","Iceland","2006","2006",149.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ISL","Iceland","2007","2007",151.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ISL","Iceland","2008","2008",149.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ISL","Iceland","2009","2009",146.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ISL","Iceland","2010","2010",144.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ISL","Iceland","2011","2011",145.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ISL","Iceland","2012","2012",149.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","ISL","Iceland","2013","2013",151,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","IRL","Ireland","2000","2000",139.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","IRL","Ireland","2001","2001",135.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","IRL","Ireland","2002","2002",133.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","IRL","Ireland","2003","2003",133.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","IRL","Ireland","2004","2004",134.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","IRL","Ireland","2005","2005",134.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","IRL","Ireland","2006","2006",125.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","IRL","Ireland","2007","2007",129.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","IRL","Ireland","2008","2008",133.2,,
